basho,day,rikishi1,odds1,rikishi2,odds2
2017.01,10,Aoiyama,1.66,Chiyoo,2.22
2017.01,10,Arawashi,1.9,Shohozan,1.9
2017.01,10,Chiyonokuni,1.48,Takakeisho,2.65
2017.01,10,Chiyootori,1.8,Nishikigi,2.01
2017.01,10,Chiyoshoma,1.84,Ishiura,1.96
2017.01,10,Endo,1.75,Okinoumi,2.08
2017.01,10,Goeido,1.84,Kotoshogiku,1.96
2017.01,10,Hakuho,1.16,Ikioi,5.3
2017.01,10,Hokutofuji,1.87,Takekaze,1.93
2017.01,10,Ichinojo,1.58,Sadanoumi,2.38
2017.01,10,Kakuryu,1.33,Tamawashi,3.32
2017.01,10,Kisenosato,1.45,Terunofuji,2.76
2017.01,10,Mitakeumi,1.65,Shodai,2.24
2017.01,10,Myogiryu,1.6,Daishomaru,2.34
2017.01,10,Sokokurai,1.52,Osunaarashi,2.53
2017.01,10,Takanoiwa,1.58,Chiyotairyu,2.38
2017.01,10,Takayasu,1.45,Takarafuji,2.76
2017.01,10,Tochiozan,1.7,Kotoyuki,2.15
2017.01,10,Yoshikaze,2.01,Kaisei,1.8
2017.01,11,Aoiyama,1.54,Chiyootori,2.48
2017.01,11,Chiyonokuni,1.65,Sadanoumi,2.24
2017.01,11,Chiyoshoma,1.79,Takanoiwa,2.03
2017.01,11,Goeido,1.29,Ikioi,3.6
2017.01,11,Hakuho,1.28,Terunofuji,3.68
2017.01,11,Hokutofuji,1.62,Chiyotairyu,2.3
2017.01,11,Ishiura,1.82,Daishomaru,1.99
2017.01,11,Kaisei,1.57,Chiyoo,2.42
2017.01,11,Kakuryu,1.53,Kotoshogiku,2.51
2017.01,11,Kisenosato,1.25,Endo,3.96
2017.01,11,Kotoyuki,2.55,Okinoumi,1.52
2017.01,11,Mitakeumi,1.48,Takekaze,2.65
2017.01,11,Nishikigi,1.57,Kagayaki,2.42
2017.01,11,Sokokurai,1.47,Takakeisho,2.69
2017.01,11,Takayasu,1.63,Shodai,2.28
2017.01,11,Tamawashi,1.56,Shohozan,2.43
2017.01,11,Tochiozan,1.78,Takarafuji,2.04
2017.01,11,Yoshikaze,1.66,Arawashi,2.22
2017.01,12,Chiyoo,1.82,Hidenoumi,1.99
2017.01,12,Chiyootori,2.01,Myogiryu,1.8
2017.01,12,Chiyoshoma,1.57142857142857,Sokokurai,2.4
2017.01,12,Chiyotairyu,1.9,Ishiura,1.9
2017.01,12,Daishomaru,1.68,Takakeisho,2.19
2017.01,12,Goeido,1.32,Endo,3.38
2017.01,12,Hakuho,1.1,Tochiozan,7
2017.01,12,Ichinojo,1.75,Hokutofuji,2.08
2017.01,12,Kaisei,1.47,Osunaarashi,2.69
2017.01,12,Kisenosato,1.18,Ikioi,4.85
2017.01,12,Kotoshogiku,1.6,Tamawashi,2.34
2017.01,12,Kotoyuki,1.82,Chiyonokuni,1.99
2017.01,12,Mitakeumi,1.5,Takarafuji,2.59
2017.01,12,Sadanoumi,1.55,Kagayaki,2.45
2017.01,12,Shodai,1.5,Shohozan,2.59
2017.01,12,Takanoiwa,1.75,Nishikigi,2.08
2017.01,12,Takayasu,1.5,Arawashi,2.59
2017.01,12,Terunofuji,1.49,Takekaze,2.625
2017.01,12,Yoshikaze,1.86,Okinoumi,1.94
2017.01,13,Aoiyama,1.5,Chiyotairyu,2.59
2017.01,13,Chiyonokuni,1.5,Nishikigi,2.59
2017.01,13,Daishomaru,2.26,Kagayaki,1.64
2017.01,13,Hakuho,1.15,Kotoshogiku,5.5
2017.01,13,Hokutofuji,1.59,Arawashi,2.36
2017.01,13,Ichinojo,1.56,Chiyoshoma,2.43
2017.01,13,Kaisei,1.85,Sadanoumi,1.95
2017.01,13,Kisenosato,1.27,Goeido,3.78
2017.01,13,Kotoyuki,1.6,Chiyootori,2.34
2017.01,13,Kyokushuho,1.48,Osunaarashi,2.65
2017.01,13,Mitakeumi,1.4,Sokokurai,2.96
2017.01,13,Myogiryu,1.57,Chiyoo,2.41
2017.01,13,Shodai,1.26,Okinoumi,3.86
2017.01,13,Takayasu,1.55,Takanoiwa,2.45
2017.01,13,Takekaze,1.93,Takarafuji,1.87
2017.01,13,Tamawashi,1.55,Ikioi,2.45
2017.01,13,Tochiozan,1.53,Takakeisho,2.51
2017.01,13,Yoshikaze,1.7,Shohozan,2.16
2017.01,14,Chiyonokuni,2.24,Endo,1.65
2017.01,14,Chiyoo,2.38,Kotoyuki,1.58
2017.01,14,Chiyoshoma,1.55,Daishomaru,2.45
2017.01,14,Chiyotairyu,2.34,Yoshikaze,1.6
2017.01,14,Hakuho,1.15,Takanoiwa,5.5
2017.01,14,Hokutofuji,2.79,Mitakeumi,1.44
2017.01,14,Ikioi,1.9,Kotoshogiku,1.9
2017.01,14,Kagayaki,2.34,Aoiyama,1.6
2017.01,14,Kisenosato,1.32,Ichinojo,3.38
2017.01,14,Okinoumi,1.82,Myogiryu,1.99
2017.01,14,Osunaarashi,2.45,Ishiura,1.55
2017.01,14,Takakeisho,2.05,Daieisho,1.77
2017.01,14,Takarafuji,2.34,Shohozan,1.6
2017.01,14,Takayasu,1.45,Sokokurai,2.76
2017.01,14,Takekaze,1.66,Chiyootori,2.22
2017.01,14,Tamawashi,1.55,Arawashi,2.45
2017.01,14,Tochiozan,2.28,Kaisei,1.63
