basho,day,rikishi1,win1,rikishi2,win2,kimarite
2017.01,1,Shimakaze,0,Fukunofuji,1,oshidashi
2017.01,1,Narutaki,1,Hikarifuji,0,oshidashi
2017.01,1,Tsunekawa,1,Sakurafuji,0,hatakikomi
2017.01,1,Ichifuji,0,Tokio,1,oshidashi
2017.01,1,Maeta,1,Shironofuji,0,oshidashi
2017.01,1,Azumayama,1,Miura,0,shitatenage
2017.01,1,Itakozakura,1,Yanagawa,0,yorikiri
2017.01,1,Oatari,1,Kyonosato,0,yorikiri
2017.01,1,Dewanosora,1,Daishiryu,0,oshidashi
2017.01,1,Moriurara,1,Fubu,0,yorikiri
2017.01,1,Hakuyo,0,Bushi,1,yorikiri
2017.01,1,Ayaminato,1,Asahinishiki,0,okuridashi
2017.01,1,Imai,1,Kadokura,0,kotenage
2017.01,1,Hokuyozakura,0,Byakkomaru,1,tsukidashi
2017.01,1,Yamashita,0,Kinjo,1,okuridashi
2017.01,1,Asashiomoto,0,Hokutosato,1,yorikiri
2017.01,1,Hamaazuma,1,Daigonishiki,0,yorikiri
2017.01,1,Goketsuyama,0,Daishohama,1,yoritaoshi
2017.01,1,Kototaiko,1,Ezuka,0,tsuridashi
2017.01,1,Sorakaze,1,Ichinoryu,0,hatakikomi
2017.01,1,Furanshisu,0,Yamana,1,yoritaoshi
2017.01,1,Kakutaiki,0,Higonoryu,1,yorikiri
2017.01,1,Kainowaka,0,Fujinotani,1,hikiotoshi
2017.01,1,Yamanaka,0,Mihamaumi,1,hikiotoshi
2017.01,1,Fukuda,1,Chida,0,oshidashi
2017.01,1,Miyazakiyama,0,Tochiimari,1,shitatenage
2017.01,1,Sekizuka,0,Gagyusan,1,oshidashi
2017.01,1,Yoshimura,1,Jingu,0,fusen
2017.01,1,Hokutoryu,0,Motokiyama,1,yorikiri
2017.01,1,Kameoka,1,Kotokobayashi,0,fusen
2017.01,1,Masutenryu,0,Tatsunoumi,1,oshidashi
2017.01,1,Daisho,0,Asanoshima,1,oshidashi
2017.01,1,Kotonoshima,1,Asahimaru,0,yorikiri
2017.01,1,Kotootomo,0,Daiseiryu,1,yorikiri
2017.01,1,Tsubakifuji,1,Takakurayama,0,oshidashi
2017.01,1,Ryubu,1,Burinosato,0,fusen
2017.01,1,Nakai,1,Fudano,0,yoritaoshi
2017.01,1,Kenyu,1,Haguroho,0,oshidashi
2017.01,1,Hisatsukasa,0,Kotoseigo,1,oshidashi
2017.01,1,Kotoomura,0,Tochimitsuru,1,yoritaoshi
2017.01,1,Kotoyamato,1,Terunosato,0,oshidashi
2017.01,1,Zendaisho,0,Tokiryu,1,oshidashi
2017.01,1,Akitoba,0,Hamamiryu,1,oshidashi
2017.01,1,Inabajo,1,Yamazaki,0,yorikiri
2017.01,1,Hokutosho,0,Chiyooume,1,yorikiri
2017.01,1,Yamamoto,1,Amamidake,0,tsukidashi
2017.01,1,Sakaguchi,1,Satoyama,0,yorikiri
2017.01,1,Toseima,0,Tochisato,1,yorikiri
2017.01,1,Sadanogo,0,Hao,1,uwatenage
2017.01,1,Tatsukaze,1,Fujiarashi,0,oshidashi
2017.01,1,Nishikifuji,1,Kotomiyakura,0,yorikiri
2017.01,1,Hamadayama,0,Takashinryu,1,okuritaoshi
2017.01,1,Kotohayashi,1,Tosahikari,0,oshidashi
2017.01,1,Wakakoki,0,Kototora,1,oshidashi
2017.01,1,Matsuyama,0,Hatachijo,1,yorikiri
2017.01,1,Tagonofuji,1,Tochitensho,0,yorikiri
2017.01,1,Iida,0,Miyauchi,1,yorikiri
2017.01,1,Kitadaichi,1,Hokutonami,0,uwatedashinage
2017.01,1,Hidano,1,Yasui,0,kimetaoshi
2017.01,1,Ginseizan,1,Kotomanabe,0,oshidashi
2017.01,1,Kotokensei,0,Haruhikari,1,hikiotoshi
2017.01,1,Kasugaryu,1,Chikarayama,0,oshidashi
2017.01,1,Isenohana,0,Tochigidake,1,yorikiri
2017.01,1,Yuma,1,Obara,0,yoritaoshi
2017.01,1,Miyazaki,0,Kyokuhozan,1,oshidashi
2017.01,1,Oisato,1,Minatosho,0,yoritaoshi
2017.01,1,Takei,0,Sadanosato,1,yorikiri
2017.01,1,Sakaefuji,1,Takunoumi,0,oshidashi
2017.01,1,Tokushuzan,1,Asatenmai,0,oshidashi
2017.01,1,Saidaiji,0,Toho,1,yorikiri
2017.01,1,Sadanohana,1,Dewaizumi,0,oshidashi
2017.01,1,Daitenpaku,0,Kotozensho,1,oshidashi
2017.01,1,Kiriarashi,1,Fujitaisei,0,oshidashi
2017.01,1,Tochikasuga,1,Sadahikari,0,hatakikomi
2017.01,1,Minatoryu,1,Takamiryu,0,yorikiri
2017.01,1,Kototsubasa,1,Hokutotsuru,0,yorikiri
2017.01,1,Kasugakuni,0,Fujinohana,1,yorikiri
2017.01,1,Kisenowaka,1,Tochinoshima,0,oshidashi
2017.01,1,Mitozakura,1,Tochiminato,0,oshitaoshi
2017.01,1,Teraoumi,0,Hikarugenji,1,yorikiri
2017.01,1,Hamaminato,1,Daishozen,0,hikiotoshi
2017.01,1,Shobushi,0,Shuji,1,oshidashi
2017.01,1,Akatsuki,1,Inoue,0,yorikiri
2017.01,1,Fujinowaka,0,Ryuseio,1,oshidashi
2017.01,1,Suekawa,1,Shunba,0,tsukidashi
2017.01,1,Ebisumaru,1,Asanojo,0,yorikiri
2017.01,1,Shingaku,0,Kirinoryu,1,oshidashi
2017.01,1,Yoshifuji,1,Itadaki,0,tsukiotoshi
2017.01,1,Kitanomine,1,Shohoryu,0,tsukidashi
2017.01,1,Baraki,0,Daijo,1,sukuinage
2017.01,1,Okinohama,0,Sakae,1,yoritaoshi
2017.01,1,Ikegawa,1,Hisanotora,0,oshidashi
2017.01,1,Chiyoraizan,1,Wakaryusei,0,shitatenage
2017.01,1,Sumanoumi,1,Kotokino,0,yorikiri
2017.01,1,Dewanojo,1,Tamakongo,0,yorikiri
2017.01,1,Nakazono,0,Hirotsukasa,1,sotogake
2017.01,1,Kotootori,0,Hamayutaka,1,oshidashi
2017.01,1,Hokutoo,1,Kosei,0,yorikiri
2017.01,1,Chiyonoumi,1,Yamatoarashi,0,yorikiri
2017.01,1,Kotodairyu,1,Masakaze,0,oshidashi
2017.01,1,Honda,1,Onojo,0,yorikiri
2017.01,1,Tomisakae,0,Kainoryu,1,hatakikomi
2017.01,1,Kirinofuji,1,Musashikuni,0,utchari
2017.01,1,Chiyonokatsu,0,Aoi,1,hatakikomi
2017.01,1,Hokutokawa,1,Kaorufuji,0,oshidashi
2017.01,1,Okoryu,1,Ozora,0,sukuinage
2017.01,1,Asahiryu,1,Koshinoryu,0,yorikiri
2017.01,1,Fukugoriki,0,Shonannoumi,1,hatakikomi
2017.01,1,Sagatsukasa,1,Yoshiazuma,0,oshidashi
2017.01,1,Kotomisen,1,Masutoo,0,oshidashi
2017.01,1,Rao,1,Oazuma,0,uwatenage
2017.01,1,Katsunofuji,0,Takaryu,1,oshidashi
2017.01,1,Ayanoumi,1,Daishoryu,0,sukuinage
2017.01,1,Higoarashi,0,Nogami,1,yorikiri
2017.01,1,Hishofuji,0,Dewaotori,1,yorikiri
2017.01,1,Higonojo,0,Akinokawa,1,tokkurinage
2017.01,1,Kotaro,1,Horyuyama,0,oshidashi
2017.01,1,Sotairyu,0,Nankairiki,1,sukuinage
2017.01,1,Terao,1,Ryusei,0,uwatenage
2017.01,1,Oiwato,0,Tokushinho,1,oshidashi
2017.01,1,Kizaki,1,Ryuonami,0,oshidashi
2017.01,1,Asakoki,0,Goryu,1,hatakikomi
2017.01,1,Dewahayate,1,Kagamio,0,yorikiri
2017.01,1,Masunosho,1,Jokoryu,0,oshidashi
2017.01,1,Shimanoumi,0,Tochihiryu,1,hatakikomi
2017.01,1,Daiseiho,0,Daiseido,1,oshidashi
2017.01,1,Sadanofuji,0,Akiseyama,1,yorikiri
2017.01,1,Shotenro,0,Ishibashi,1,yorikiri
2017.01,1,Shiba,1,Mugendai,0,yorikiri
2017.01,1,Fujiazuma,0,Tochimaru,1,tsukidashi
2017.01,1,Kitaharima,1,Asasekiryu,0,oshidashi
2017.01,1,Wakanoshima,1,Kizenryu,0,yorikiri
2017.01,1,Terutsuyoshi,0,Daiamami,1,sukuinage
2017.01,1,Asahisho,0,Rikishin,1,yorikiri
2017.01,1,Homarefuji,1,Satoyama,0,yorikiri
2017.01,1,Amuru,1,Ryuden,0,hatakikomi
2017.01,1,Yamaguchi,0,Amakaze,1,yorikiri
2017.01,1,Tokushoryu,1,Tsurugisho,0,hatakikomi
2017.01,1,Kyokutaisei,1,Aminishiki,0,tsukiotoshi
2017.01,1,Oyanagi,0,Kotoeko,1,amiuchi
2017.01,1,Kitataiki,0,Onosho,1,oshidashi
2017.01,1,Seiro,0,Azumaryu,1,yorikiri
2017.01,1,Ura,1,Chiyomaru,0,oshidashi
2017.01,1,Kyokushuho,1,Daieisho,0,hatakikomi
2017.01,1,Toyohibiki,1,Hidenoumi,0,yorikiri
2017.01,1,Chiyoo,0,Osunaarashi,1,utchari
2017.01,1,Sadanoumi,1,Chiyotairyu,0,oshidashi
2017.01,1,Chiyootori,0,Ichinojo,1,oshidashi
2017.01,1,Gagamaru,0,Daishomaru,1,hatakikomi
2017.01,1,Takakeisho,0,Nishikigi,1,oshidashi
2017.01,1,Kagayaki,0,Sokokurai,1,tsukiotoshi
2017.01,1,Takanoiwa,1,Ishiura,0,abisetaoshi
2017.01,1,Kaisei,1,Chiyonokuni,0,oshitaoshi
2017.01,1,Hokutofuji,1,Aoiyama,0,tsukiotoshi
2017.01,1,Myogiryu,0,Kotoyuki,1,hatakikomi
2017.01,1,Chiyoshoma,0,Yoshikaze,1,tsuriotoshi
2017.01,1,Takekaze,1,Endo,0,tsukiotoshi
2017.01,1,Tochiozan,0,Ikioi,1,oshidashi
2017.01,1,Tamawashi,1,Okinoumi,0,oshidashi
2017.01,1,Arawashi,0,Kotoshogiku,1,yorikiri
2017.01,1,Terunofuji,0,Shohozan,1,yorikiri
2017.01,1,Mitakeumi,1,Goeido,0,yorikiri
2017.01,1,Kisenosato,1,Takarafuji,0,yorikiri
2017.01,1,Hakuho,1,Shodai,0,hikiotoshi
2017.01,1,Takayasu,0,Harumafuji,1,yorikiri
2017.01,1,Kakuryu,1,Tochinoshin,0,uwatedashinage
2017.01,2,Noborifuji,1,Hattorizakura,0,shitatenage
2017.01,2,Wakaichiro,1,Tatsunofuji,0,oshidashi
2017.01,2,Toranofuji,0,Wakayama,1,oshidashi
2017.01,2,Teruju,0,Kenshin,1,oshidashi
2017.01,2,Sawanofuji,0,Fujihisashi,1,oshidashi
2017.01,2,Wada,1,Kawaguchi,0,oshidashi
